model,trial,lr,weight_decay,dropout,batch_size,attn_dim,val_auroc
Global-CNN,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.75
Global-CNN,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.6875
Global-CNN,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.6875
Global-CNN,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.75
Global-CNN,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.8125
Global-CNN,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.75
Global-CNN,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.6875
Global-CNN,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,0.75
Global-CNN,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.75
Global-CNN,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.6875
Global-CNN,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.75
Global-CNN,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.75
Global-CNN,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.625
Global-CNN,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.6875
Global-CNN,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.75
Fixed-MBCNN,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.75
Fixed-MBCNN,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.6875
Fixed-MBCNN,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.75
Fixed-MBCNN,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.75
Fixed-MBCNN,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.75
Fixed-MBCNN,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.75
Fixed-MBCNN,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.75
Fixed-MBCNN,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,0.75
Fixed-MBCNN,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.75
Fixed-MBCNN,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.6875
Fixed-MBCNN,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.75
Fixed-MBCNN,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.75
Fixed-MBCNN,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.8125
Fixed-MBCNN,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.6875
Fixed-MBCNN,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.75
Phase-MBCNN,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.875
Phase-MBCNN,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.875
Phase-MBCNN,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.8125
Phase-MBCNN,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.875
Phase-MBCNN,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.875
Phase-MBCNN,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.875
Phase-MBCNN,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.75
Phase-MBCNN,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,0.875
Phase-MBCNN,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.875
Phase-MBCNN,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.75
Phase-MBCNN,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.875
Phase-MBCNN,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.875
Phase-MBCNN,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.75
Phase-MBCNN,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.9375
Phase-MBCNN,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.875
Phase-AttNet,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.875
Phase-AttNet,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.875
Phase-AttNet,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.75
Phase-AttNet,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.875
Phase-AttNet,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.875
Phase-AttNet,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.875
Phase-AttNet,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.75
Phase-AttNet,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,0.875
Phase-AttNet,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.875
Phase-AttNet,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.75
Phase-AttNet,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.875
Phase-AttNet,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.8125
Phase-AttNet,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.8125
Phase-AttNet,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.75
Phase-AttNet,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.875
Location-AttNet,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.875
Location-AttNet,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.875
Location-AttNet,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.75
Location-AttNet,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.9375
Location-AttNet,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.9375
Location-AttNet,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.875
Location-AttNet,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.75
Location-AttNet,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,0.875
Location-AttNet,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.9375
Location-AttNet,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.75
Location-AttNet,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.875
Location-AttNet,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.875
Location-AttNet,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.875
Location-AttNet,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.75
Location-AttNet,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.9375
PLAF-Net,0,0.0006466422717414558,0.0007257005721594283,0.3411053504286575,8,32,0.8125
PLAF-Net,1,0.000369639513321581,1.549310364390671e-05,0.12268519092697727,4,64,0.75
PLAF-Net,2,0.0005076557357593734,0.001772861933751492,0.2919908689500229,8,32,0.8125
PLAF-Net,3,0.0017178676930681314,2.2365810539197582e-05,0.3592687488204789,4,32,0.8125
PLAF-Net,4,0.001410690937355148,0.003020289640158668,0.4914473368931056,4,32,0.875
PLAF-Net,5,0.0004804641349751479,0.0013246974647468455,0.1473097703475733,4,32,0.875
PLAF-Net,6,0.00016283591083632567,0.006007249475906206,0.3087393287000287,4,64,0.75
PLAF-Net,7,0.0013919929598274882,6.677306766018317e-05,0.3273735795474594,4,16,1.0
PLAF-Net,8,0.0008171890156969397,0.0002807908107885729,0.34677359874990277,4,32,0.875
PLAF-Net,9,0.0004619879985376409,0.00028330473395339324,0.46093943326959375,8,32,0.8125
PLAF-Net,10,0.0009658179826892162,0.0004814503186400563,0.18415302442953638,4,64,0.875
PLAF-Net,11,0.0007903866569619362,1.9961304333831496e-05,0.11537017058909389,4,64,0.875
PLAF-Net,12,0.0001414922194166195,6.847105576684053e-06,0.1645238071539985,4,16,0.875
PLAF-Net,13,0.0002366695634787528,7.332348382056165e-05,0.1977702368006411,8,32,0.8125
PLAF-Net,14,0.0009321340801728939,3.570522756718297e-06,0.1786329446720214,4,32,0.8125
